dataset_label,variant_label,dataset_root,scan_index,scan_file,hr_path,height,width,num_pixels,scan_mean_dS_rad,scan_std_dS_rad,scan_max_dS_rad
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,43,IN718_test_hr_x_block_516.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_516.npy,128,128,16384,0.0078032235614955425,0.002521029906347394,0.012371952645480633
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,44,IN718_test_hr_x_block_518.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_518.npy,128,128,16384,0.007306274957954884,0.0030434513464570045,0.01278888899832964
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,45,IN718_test_hr_x_block_519.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_519.npy,128,128,16384,0.007822737097740173,0.002671413356438279,0.012544193305075169
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,46,IN718_test_hr_x_block_522.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_522.npy,128,128,16384,0.007844443432986736,0.002153104403987527,0.012955588288605213
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,47,IN718_test_hr_x_block_527.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_527.npy,128,128,16384,0.0067440178245306015,0.003020740579813719,0.01278888899832964
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,48,IN718_test_hr_x_block_531.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_531.npy,128,128,16384,0.0069689322263002396,0.002956465817987919,0.01278888899832964
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,49,IN718_test_hr_x_block_535.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_535.npy,128,128,16384,0.007524625863879919,0.002977420575916767,0.013010679744184017
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,50,IN718_test_hr_x_block_536.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_536.npy,128,128,16384,0.007934985682368279,0.0027539958246052265,0.013010679744184017
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,51,IN718_test_hr_x_block_539.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_539.npy,128,128,16384,0.008462416008114815,0.002600130857899785,0.01654406450688839
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,52,IN718_test_hr_x_block_54.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_54.npy,128,128,16384,0.007636574562638998,0.0022929850965738297,0.013246762566268444
